periodid,periodname,periodcode,perioddescription,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,Cycle Beads,DMPA-IM,DMPA-SC,Hormonal IUCD,Non-Hormonal IUCD,Implanon,Male Condoms,Female Condoms,EC Pills,COCs,POPs,Type
202001,Jan-20,202001,,ptWVfaCIdVx,Nyeri County,KE_County_19,,,4382.0,,,322.0,167.0,38681.0,238.0,100.0,5703.0,1384.0,Consumption
202001,Jan-20,202001,,mYZacFNIB3h,Nyandarua County,KE_County_18,,4.0,3980.0,,,126.0,341.0,19999.0,21.0,23.0,2976.0,822.0,Consumption
202001,Jan-20,202001,,uepLTG8wGWJ,Nyamira County,KE_County_46,,,4150.0,,,117.0,1155.0,90543.0,748.0,47.0,1554.0,145.0,Consumption
202001,Jan-20,202001,,kqJ83J2D72s,Narok County,KE_County_33,,,4483.0,,,52.0,547.0,30159.0,87.0,55.0,760.0,149.0,Consumption
202001,Jan-20,202001,,t0J75eHKxz5,Nandi County,KE_County_29,,10.0,6564.0,,,179.0,307.0,83127.0,942.0,74.0,9127.0,135.0,Consumption
202001,Jan-20,202001,,Y52XNJ50hYb,Meru County,KE_County_12,,4.0,5560.0,,,291.0,590.0,51212.0,1045.0,133.0,3186.0,352.0,Consumption
202001,Jan-20,202001,,fVra3Pwta0Q,Migori County,KE_County_44,,32.0,3149.0,,,990.0,3479.0,143634.0,1508.0,97.0,1098.0,30.0,Consumption
202001,Jan-20,202001,,wsBsC6gjHvn,Mombasa County,KE_County_1,,4.0,4718.0,,,234.0,182.0,9802.0,113.0,56.0,2235.0,416.0,Consumption
202001,Jan-20,202001,,ahwTMNAJvrL,Muranga County,KE_County_21,,,3220.0,,,130.0,93.0,8004.0,9.0,63.0,4194.0,787.0,Consumption
202001,Jan-20,202001,,jkG3zaihdSs,Nairobi County,KE_County_47,,20.0,21062.0,,,7164.0,1239.0,271569.0,6529.0,255.0,14710.0,4569.0,Consumption
202001,Jan-20,202001,,ob6SxuRcqU4,Nakuru County,KE_County_32,,20.0,12926.0,,,900.0,489.0,399405.0,2081.0,683.0,6861.0,2393.0,Consumption
202002,Feb-20,202002,,vvOK1BxTbet,Baringo County,KE_County_30,,577.0,2133.0,,,65.0,99.0,30432.0,23.0,99.0,898.0,245.0,Consumption
202002,Feb-20,202002,,HMNARUV2CW4,Bomet County,KE_County_36,,,4573.0,,,509.0,816.0,18568.0,1005.0,17.0,1575.0,192.0,Consumption
202002,Feb-20,202002,,KGHhQ5GLd4k,Bungoma County,KE_County_39,,1.0,9874.0,,,96.0,432.0,159235.0,1076.0,152.0,2223.0,873.0,Consumption
202002,Feb-20,202002,,Tvf1zgVZ0K4,Busia County,KE_County_40,,,3813.0,,,1959.0,462.0,41816.0,125.0,11.0,1580.0,277.0,Consumption
202002,Feb-20,202002,,MqnLxQBigG0,Elgeyo Marakwet County,KE_County_28,,,729.0,,,7.0,250.0,12840.0,42.0,18.0,454.0,32.0,Consumption
202002,Feb-20,202002,,PFu8alU2KWG,Embu County,KE_County_14,,,3820.0,,,238.0,24.0,41699.0,45.0,36.0,3502.0,908.0,Consumption
202002,Feb-20,202002,,uyOrcHZBpW0,Garissa County,KE_County_7,,6.0,300.0,,,6.0,75.0,929.0,,,283.0,188.0,Consumption
202002,Feb-20,202002,,nK0A12Q7MvS,Homa Bay County,KE_County_43,,5.0,7288.0,,,202.0,629.0,73113.0,981.0,56.0,4412.5,221.0,Consumption
202002,Feb-20,202002,,bzOfj0iwfDH,Isiolo County,KE_County_11,,,452.0,,,,83.0,16146.0,250.0,16.0,727.0,10.0,Consumption
202002,Feb-20,202002,,Hsk1YV8kHkT,Kajiado County,KE_County_34,,2.0,6329.0,,,346.0,421.0,21446.0,237.0,143.0,2069.0,488.0,Consumption
202002,Feb-20,202002,,BjC1xL40gHo,Kakamega County,KE_County_37,,6.0,8202.0,,,380.0,707.0,83793.0,232.0,146.0,5786.0,446.0,Consumption
202002,Feb-20,202002,,ihZsJ8alvtb,Kericho County,KE_County_35,,,2601.0,,,2273.0,314.0,22427.0,145.0,,173.0,119.0,Consumption
202002,Feb-20,202002,,qKzosKQPl6G,Kiambu County,KE_County_22,,423.0,6640.0,,,801.0,471.0,37487.0,1641.0,425.0,6356.0,3236.0,Consumption
202002,Feb-20,202002,,nrI2khZx3d0,Kilifi County,KE_County_3,,2.0,9649.0,,,131.0,982.0,69483.0,536.0,82.0,3087.0,422.0,Consumption
202002,Feb-20,202002,,Ulj33KBau7V,Kirinyaga County,KE_County_20,,,2888.0,,,148.0,12.0,9239.0,2258.0,55.0,5957.0,1150.0,Consumption
202002,Feb-20,202002,,sPkRcDvhGWA,Kisii County,KE_County_45,,,5578.0,,,679.0,687.0,61088.0,2472.0,146.0,1419.0,191.0,Consumption
202002,Feb-20,202002,,tAbBVBbueqD,Kisumu County,KE_County_42,,,6368.0,,,222.0,840.0,85167.0,460.0,66.0,1507.0,252.0,Consumption
202002,Feb-20,202002,,j8o6iO4Njsi,Kitui County,KE_County_15,,,8037.0,,,47.0,881.0,23545.0,17.0,98.0,3508.0,252.0,Consumption
202002,Feb-20,202002,,N7YETT3A9r1,Kwale County,KE_County_2,,1.0,4866.0,,,21.0,414.0,40705.0,101.0,10.0,1013.0,97.0,Consumption
202002,Feb-20,202002,,xuFdFy6t9AH,Laikipia County,KE_County_31,,,1857.0,,,116.0,172.0,78617.0,1161.0,15.0,2184.0,605.0,Consumption
202002,Feb-20,202002,,NjWSbQTwys4,Lamu County,KE_County_5,,,863.0,,,8.0,28.0,2920.0,27.0,18.0,368.0,35.0,Consumption
202002,Feb-20,202002,,yhCUgGcCcOo,Machakos County,KE_County_16,,3.0,8477.0,,,81.0,275.0,27863.0,303.0,59.0,5335.0,900.0,Consumption
202002,Feb-20,202002,,BoDytkJQ4Qi,Makueni County,KE_County_17,,2.0,7427.0,,,783.0,971.0,35090.0,247.0,48.0,1406.0,68.0,Consumption
202002,Feb-20,202002,,R6f9znhg37c,Mandera County,KE_County_9,,52.0,86.0,,,,26.0,279.0,,25.0,320.0,117.0,Consumption
202002,Feb-20,202002,,Eey8fT4Im3y,Marsabit County,KE_County_10,,,252.0,,,7.0,36.0,8355.0,225.0,8.0,263.0,6.0,Consumption
